Parameters,No Data Preprocessing with c = 3 to 5,Using Normalization with c = 3 to 5,Using Transformation with c = 3 to 5,Using PCA with c = 3 to 5,Using T+N with c = 3 to 5,Using T+N+PCA using c = 3 to 5
Silhouette,"[0.9158, 0.877, 0.8381]","[0.4176, 0.3378, 0.2935]","[0.271, 0.2466, -0.0431]","[0.9158, 0.877, 0.8381]","[0.0453, 0.0266, 0.0066]","[0.0325, 0.0159, 0.0049]"
Calinski-Harabasz,"[1469.3191, 2389.0274, 2940.4722]","[277.5968, 249.529, 219.3194]","[14.9962, 10.8331, 9.1128]","[1469.3191, 2389.0274, 2940.4722]","[11.717, 9.1646, 7.4751]","[11.6226, 8.9972, 7.4154]"
Davies-Bouldin,"[0.3927, 0.4129, 0.4941]","[0.8565, 0.9768, 1.2279]","[1.5726, 1.3319, 1.2812]","[0.3927, 0.4129, 0.4941]","[3.3447, 3.7852, 3.1881]","[3.3131, 4.0698, 3.6943]"
