Parameters,No Data Preprocessing with c = 3 to 5,Using Normalization with c = 3 to 5,Using Transformation with c = 3 to 5,Using PCA with c = 3 to 5,Using T+N with c = 3 to 5,Using T+N+PCA using c = 3 to 5
Silhouette,"[0.9256, 0.877, 0.8405]","[0.3981, 0.308, 0.3039]","[0.3622, 0.0766, 0.0141]","[0.9256, 0.877, 0.8405]","[0.0824, 0.0031, 0.0048]","[0.0824, 0.0031, 0.0048]"
Calinski-Harabasz,"[1173.3156, 2389.0274, 2554.9926]","[265.9171, 229.0622, 194.0556]","[15.6206, 11.749, 9.6443]","[1173.3156, 2389.0274, 2554.9926]","[11.2622, 9.141, 7.7127]","[11.2622, 9.141, 7.7127]"
Davies-Bouldin,"[0.2109, 0.4129, 0.4891]","[0.9105, 1.0031, 1.3142]","[1.2516, 1.4273, 1.4427]","[0.2109, 0.4129, 0.4891]","[2.9741, 3.5252, 3.4325]","[2.9741, 3.5252, 3.4325]"
